Wavelength (nm),Intensity
711.198,36.372
711.467,35.925
711.735,35.436
712.003,34.926
712.272,34.562
712.54,34.231
712.808,33.816
713.077,33.431
713.345,33.054
713.613,32.799
713.882,32.527
714.15,32.229
714.418,31.811
714.687,31.32
714.955,30.72
715.223,30.061
715.491,29.396
715.76,28.791
716.028,28.205
716.296,27.605
716.565,27.03
716.833,26.631
717.101,26.395
717.369,26.298
717.638,26.262
717.906,26.216
718.174,26.105
718.443,25.961
718.711,25.834
718.979,25.741
719.247,25.63
719.516,25.513
719.784,25.41
720.052,25.31
720.321,25.199
720.589,25.039
720.857,24.887
721.125,24.743
721.394,24.64
721.662,24.556
721.93,24.485
722.199,24.431
722.467,24.366
722.735,24.371
723.003,24.352
723.272,24.349
723.54,24.292
723.808,24.284
724.077,24.295
724.345,24.322
724.613,24.349
724.882,24.36
725.15,24.363
725.418,24.347
725.687,24.309
725.955,24.225
726.223,24.146
726.492,24.13
726.76,24.214
727.028,24.292
727.297,24.344
727.565,24.412
727.833,24.477
728.102,24.504
728.37,24.436
728.639,24.355
728.907,24.268
729.175,24.225
729.444,24.214
729.712,24.244
729.981,24.233
730.249,24.208
730.518,24.135
730.786,24.059
731.054,23.98
731.323,23.951
731.591,23.945
731.86,23.959
732.128,24.005
732.397,24.081
732.665,24.168
732.934,24.249
733.202,24.339
733.471,24.423
733.739,24.52
734.008,24.667
734.276,24.843
734.545,25.022
734.814,25.139
735.082,25.261
735.351,25.372
735.619,25.495
735.888,25.56
736.157,25.622
736.425,25.701
736.694,25.831
736.963,25.975
737.231,26.113
737.5,26.243
737.769,26.376
738.037,26.523
738.306,26.65
738.575,26.724
738.843,26.764
739.112,26.805
739.381,26.908
739.65,26.998
739.919,27.104
740.187,27.171
740.456,27.285
740.725,27.416
740.994,27.595
741.263,27.752
741.532,27.89
741.8,28.01
742.069,28.11
742.338,28.17
742.607,28.205
742.876,28.208
743.145,28.227
743.414,28.235
743.683,28.27
743.952,28.297
744.221,28.325
744.49,28.39
744.759,28.498
745.028,28.628
745.297,28.756
745.566,28.881
745.835,28.984
746.104,29.046
746.374,29.117
746.643,29.19
746.912,29.274
747.181,29.307
747.45,29.299
747.719,29.223
747.989,29.073
748.258,28.916
748.527,28.756
748.796,28.628
749.066,28.485
749.335,28.33
749.604,28.145
749.874,27.912
750.143,27.635
750.412,27.299
750.682,26.957
750.951,26.577
751.22,26.205
751.49,25.826
751.759,25.519
752.029,25.261
752.298,25.063
752.568,24.892
752.837,24.724
753.107,24.564
753.376,24.417
753.646,24.314
753.916,24.236
754.185,24.141
754.455,24.016
754.724,23.875
754.994,23.728
755.264,23.647
755.533,23.622
755.803,23.633
756.073,23.644
756.343,23.69
756.612,23.839
756.882,24.075
757.152,24.393
757.422,24.708
757.691,24.987
757.961,25.153
758.231,25.294
758.501,25.427
758.771,25.603
759.041,25.79
759.311,25.994
759.581,26.189
759.851,26.403
760.121,26.599
760.391,26.781
760.661,26.881
760.931,26.976
761.201,27.041
761.471,27.155
761.741,27.25
762.011,27.372
762.281,27.47
762.551,27.521
762.822,27.513
763.092,27.475
763.362,27.44
763.632,27.443
763.902,27.473
764.173,27.578
764.443,27.719
764.713,27.833
764.983,27.893
765.254,27.896
765.524,27.842
765.794,27.741
766.065,27.573
766.335,27.437
766.606,27.359
766.876,27.356
767.146,27.394
767.417,27.418
767.687,27.456
767.958,27.511
768.228,27.57
768.499,27.603
768.769,27.627
769.04,27.652
769.311,27.652
769.581,27.562
769.852,27.375
770.122,27.158
770.393,26.99
770.664,26.905
770.934,26.821
771.205,26.751
771.476,26.683
771.746,26.707
772.017,26.783
772.288,26.903
772.559,27.003
772.829,27.047
773.1,27.03
773.371,26.919
773.642,26.77
773.913,26.631
774.184,26.504
774.454,26.398
774.725,26.243
774.996,26.129
775.267,26.01
775.538,25.912
775.809,25.804
776.08,25.741
776.351,25.714
776.622,25.698
776.893,25.665
777.164,25.671
777.435,25.663
777.706,25.638
777.977,25.546
778.248,25.438
778.519,25.248
778.79,25.033
779.061,24.797
779.332,24.643
779.603,24.51
779.875,24.425
780.146,24.325
780.417,24.246
780.688,24.17
780.959,24.086
781.23,23.986
781.502,23.834
781.773,23.668
782.044,23.492
782.315,23.378
782.586,23.283
782.858,23.215
783.129,23.177
783.4,23.169
783.671,23.145
783.943,23.034
784.214,22.892
784.485,22.754
784.756,22.659
785.028,22.58
785.299,22.542
785.57,22.496
785.842,22.426
786.113,22.314
786.384,22.206
786.656,22.07
786.927,21.907
787.198,21.715
787.47,21.563
787.741,21.452
788.012,21.414
788.284,21.425
788.555,21.427
788.827,21.365
789.098,21.297
789.369,21.251
789.641,21.245
789.912,21.24
790.183,21.267
790.455,21.327
790.726,21.34
790.998,21.3
791.269,21.224
791.54,21.164
791.812,21.112
792.083,21.069
792.355,21.058
792.626,21.015
792.897,20.952
793.169,20.868
793.44,20.817
793.712,20.787
793.983,20.757
794.254,20.722
794.526,20.681
794.797,20.583
795.069,20.467
795.34,20.312
795.611,20.198
795.883,20.062
796.154,19.951
796.425,19.791
796.697,19.672
796.968,19.552
797.239,19.501
797.511,19.406
797.782,19.297
798.053,19.137
798.325,19.01
798.596,18.869
798.867,18.706
799.138,18.489
799.41,18.247
799.681,18.006
799.952,17.802
800.223,17.653
800.495,17.601
800.766,17.582
801.037,17.569
801.308,17.509
801.579,17.447
801.851,17.382
802.122,17.311
802.393,17.254
802.664,17.189
802.935,17.089
803.206,16.953
803.477,16.798
803.748,16.641
804.019,16.47
804.29,16.326
804.561,16.22
804.832,16.185
805.103,16.139
805.374,16.106
805.645,16.033
805.916,16.009
806.187,16.006
806.458,16.009
806.729,15.946
807,15.849
807.271,15.748
807.541,15.68
807.812,15.661
808.083,15.697
808.354,15.77
808.624,15.832
808.895,15.838
809.166,15.778
809.436,15.659
809.707,15.518
809.977,15.36
810.248,15.197
810.518,14.994
810.789,14.799
811.059,14.617
811.33,14.505
811.6,14.419
811.871,14.367
812.141,14.294
812.411,14.28
812.681,14.305
812.952,14.419
813.222,14.562
813.492,14.766
813.762,15.035
814.032,15.363
814.302,15.518
814.572,15.531
814.842,15.376
815.112,15.263
815.382,15.097
815.652,14.967
815.922,14.885
816.192,14.872
816.462,14.842
816.731,14.839
817.001,14.856
817.271,14.915
817.54,14.918
817.81,14.88
818.079,14.777
818.349,14.706
818.618,14.644
818.888,14.587
819.157,14.522
819.426,14.489
819.695,14.495
819.965,14.492
820.234,14.484
820.503,14.492
820.772,14.519
821.041,14.562
821.31,14.606
821.579,14.693
821.848,14.739
822.116,14.799
822.385,14.826
822.654,14.899
822.923,14.969
823.191,15.045
823.46,15.089
823.728,15.116
823.997,15.119
824.265,15.108
824.533,15.04
824.802,14.942
825.07,14.78
825.338,14.609
825.606,14.465
825.874,14.394
826.142,14.373
826.41,14.362
826.678,14.34
826.945,14.337
827.213,14.321
827.481,14.321
827.748,14.297
828.016,14.267
828.283,14.223
828.551,14.18
828.818,14.117
829.085,14.093
829.352,14.077
829.619,14.098
829.887,14.123
830.153,14.188
830.42,14.288
830.687,14.43
830.954,14.595
831.221,14.782
831.487,14.967
831.754,15.143
832.02,15.249
832.287,15.303
832.553,15.284
832.819,15.181
833.085,14.926
833.351,14.587
833.617,14.196
833.883,13.884
834.149,13.64
834.415,13.531
834.68,13.469
834.946,13.472
835.212,13.472
835.477,13.474
835.742,13.436
836.008,13.404
836.273,13.369
836.538,13.36
836.803,13.36
837.068,13.404
837.333,13.439
837.597,13.507
837.862,13.542
838.126,13.591
838.391,13.607
838.655,13.618
838.92,13.597
839.184,13.556
839.448,13.502
839.712,13.458
839.976,13.398
840.239,13.36
840.503,13.306
840.767,13.282
841.03,13.252
841.294,13.255
841.557,13.279
841.82,13.344
842.083,13.436
842.346,13.504
842.609,13.521
842.872,13.477
843.135,13.322
843.397,13.119
843.66,12.848
843.922,12.609
844.185,12.395
844.447,12.218
844.709,12.093
844.971,12.02
845.233,11.996
845.494,12.017
845.756,12.007
846.018,12.036
846.279,12.08
846.54,12.167
846.801,12.259
847.063,12.346
847.324,12.378
847.584,12.343
847.845,12.207
848.106,12.063
848.366,11.852
848.627,11.681
848.887,11.526
849.147,11.439
849.407,11.363
849.667,11.298
849.927,11.212
850.187,11.163
850.446,11.1
850.706,11.089
850.965,11.087
851.224,11.141
851.483,11.165
851.742,11.193
852.001,11.193
852.26,11.217
852.518,11.174
852.777,11.114
853.035,10.967
853.293,10.786
853.551,10.56
853.809,10.392
854.067,10.273
854.325,10.186
854.582,10.066
854.84,9.982
855.097,9.898
855.354,9.879
855.611,9.847
855.868,9.828
856.125,9.814
856.381,9.801
856.638,9.801
856.894,9.798
857.15,9.809
857.406,9.795
857.662,9.719
857.918,9.611
858.174,9.489
858.429,9.41
858.685,9.334
858.94,9.236
859.195,9.155
859.45,9.122
859.705,9.141
859.959,9.103
860.214,9.027
